텃밭아이디,운영주체,텃밭명,시도코드,시도명,시군구코드,시군구명,주소,실제전체면적,실제분양면적,홈페이지,모집기간,부대시설,신청방법,분양가격,위도좌표,경도좌표,등록일자,수정일자
"29","지자체/민간","무수골주말농장","1","서울특별시","10","도봉구","도봉구 도봉1동 469","18264","13.2"," "," ","주차장, 식수대, 화장실","전화","120,000","37.6774522969191","127.03348115327","20170113",20170113
"30","지자체/민간","도봉산주말농장","1","서울특별시","10","도봉구","도봉구 도봉1동 384-12","1548","13.2"," "," "," "," ","120,000","37.6896594911865","127.040235675259","20170113",20170113
"31","지자체/민간","도봉예전주말농장","1","서울특별시","10","도봉구","도봉구 도봉 1동 437-5","3795","13.2"," "," "," "," ","120,000","37.6787620368331","127.036295121376","20170113",20170113
"32","지자체/민간","도봉산초원주말농장","1","서울특별시","10","도봉구","도봉구 도봉구 평화로 15번길 9-23","4457","13"," "," "," "," ","120,000","37.69355283301148","127.04294945366861","20170113",20170113
"33","지자체/민간","정의공주","1","서울특별시","10","도봉구","도봉구 방학동 571","6000","13"," "," ","주차장, 화장실","전화, 방문","130,000","37.6628442839531","127.022950689667","20170113",20170113
"34","지자체/민간","웰빙주말농장","1","서울특별시","10","도봉구","도봉구 도봉동 468","2264","13.2"," "," "," "," ","120,000","37.6768590216729","127.033269985456","20170113",20170113
"36","지자체/민간","힐링주말농장","1","서울특별시","10","도봉구","도봉구 방학동 392","1921","13.2"," "," ","주차장, 식수대, 화장실","전화","120,000","37.6712965511492","127.033275930533","20170112",20170112
"37","지자체/민간","샘골주말농장","1","서울특별시","10","도봉구","도봉구 방학동 534","1650","16.5"," "," "," "," ","120,000","37.6593915590103","127.020669674928","20170113",20170113
"40","지자체/민간","대원","1","서울특별시","15","서초구","서초구 원지동 227","16500","9.9"," "," "," "," ","130,000","37.4514784450648","127.047610734193","20170113",20170113
"42","지자체/민간","옛골텃밭농원","1","서울특별시","15","서초구","서초구 신원동 44-2","2497","9.9"," "," ","주차장, 식수대, 화장실","전화","120,000","37.4346628503305","127.066476709759","20170113",20170113
"43","지자체/민간","청계주말농장","1","서울특별시","15","서초구","서초구 원지동 530","4950","9.9"," "," ","주차장, 식수대, 화장실","전화","120,000","37.4353095320886","127.063182162465","20170113",20170113
"44","지자체/민간","들꽃풍경","1","서울특별시","15","서초구","서초구 내곡동 1-342","4515","9.9"," "," ","주차장, 식수대, 화장실","전화","150,000","37.454082151144","127.078589891028","20170113",20170113
"46","지자체/민간","칠성주말농장","1","서울특별시","15","서초구","서초구 원지동 370","760","10"," "," ","주차장, 식수대, 화장실","전화","100,000","37.444009442958","127.054969178461","20170113",20170113
"51","지자체/민간","우리농원","1","서울특별시","18","송파구","송파구 방이동 436-18","2310","16.5"," "," ","주차장, 식수대, 화장실","전화","100,000","37.5141502580708","127.140619686604","20170113",20170113
"53","지자체/민간","대훈농원(배)","1","서울특별시","25","중랑구","중랑구 신내동 256-2","3134","9.9"," "," ","주차장, 화장실, 식수대","전화","100,000","37.620198660325","127.10780569751","20170113",20170113
"54","지자체/민간","신내농장","1","서울특별시","25","중랑구","중랑구 중랑구 신내동 256-10","823","12"," "," ","주차장, 식수대, 화장실","전화","80,000","37.6190780836092","127.109328711609","20170113",20170113
"55","지자체/민간","용마산주말농장","1","서울특별시","25","중랑구","중랑구 용마산로 70길 81","6600","40"," "," ","주차장, 식수대, 화장실","전화","250,000","37.5819644486506","127.098640354362","20170113",20170113
"56","지자체/민간","먹골농원","1","서울특별시","25","중랑구","중랑구 신내동 779-4","18000","9.9"," "," "," "," ","150,000","37.6134565480821","127.090236760154","20170113",20170113
"57","지자체/민간","대산농원","1","서울특별시","25","중랑구","중랑구 신내동 774-2","4000","13"," "," ","주차장, 식수대, 화장실","전화","130,000","37.6130311385253","127.086840383456","20170113",20170113
"59","지자체/민간","궁동주말농장","1","서울특별시","7","구로구","구로구 궁동 1-2","2000","13.2"," "," ","주차장, 식수대, 화장실","전화","100,000","37.5074390762665","126.828380742634","20170113",20170113
"60","지자체/민간","삼거리주말농장","1","서울특별시","7","구로구","구로구 궁동 8외 3필지","4950","16.5"," "," "," "," ","80,000","37.5068317745384","126.828210637378","20170113",20170113
"61","지자체/민간","북한산주말농장","1","서울특별시","22","은평구","은평구 진관동 272-3","7000","16.5"," "," ","주차장, 식수대, 화장실"," ","130,000","37.6544807913065","126.947392834019","20170113",20170113
"62","지자체/강동구청","가래여울텃밭","1","서울특별시","2","강동구","강동구 강일동 138-17외 2","10356","12"," ","9개월","주차장, 화장실, 야외테이블 등","홈페이지 및 방문","60,000","37.5773041533408","127.170273542277","20170113",20170113
"63","지자체/강동구청","강일텃밭","1","서울특별시","2","강동구","강동구 강일동 33-3 외 7","7990","12"," ","9개월","주차장, 화장실, 야외테이블 등","홈페이지 및 방문","60,000","37.5783670590349","127.175234514167","20170113",20170113
"64","지자체/강동구청","길동텃밭","1","서울특별시","2","강동구","강동구 길동 36-2","4761","12"," "," "," "," "," ","37.541116556556","127.150913543893","20151026",20151026
"65","지자체/강동구청","둔촌텃밭","1","서울특별시","2","강동구","강동구 둔촌동 118-1","6411","12"," ","9개월","주차장, 화장실, 야외테이블 등","홈페이지 및 전화","70,000","37.5235650538683","127.145767252115","20170113",20170113
"66","지자체/강동구청","상일텃밭","1","서울특별시","2","강동구","강동구 상일동 12 외 1","9657","12"," ","9개월","주차장, 화장실, 야외테이블 등","홈페이지 및 방문","60,000","37.5481432780192","127.182322513912","20170113",20170113
"67","지자체/강동구청","암사텃밭","1","서울특별시","2","강동구","강동구 암사동 603-3","4852","12"," "," ","주차장, 화장실, 야외테이블 등","홈페이지 및 방문","70,000","37.5550301763437","127.126021464147","20170113",20170113
"68","지자체/강동구청","양지텃밭","1","서울특별시","2","강동구","강동구 암사동 195 외 1","5766","12"," "," "," "," "," ","37.5572876088585","127.13072434102","20151026",20151026
"69","지자체/강동구청","명일근린공원 공동체텃밭","1","서울특별시","2","강동구","강동구 상일동145-6","8975","7"," ","매년 2월 접수","교육장, 씨앗도서관, 주차장, 화장실, 야외테이블 등","신청서 접수","무료","37.5549461528022","127.159838625112","20170112",20170112
"70","지자체/강동구청","상일테마텃밭","1","서울특별시","2","강동구","강동구 상일동432-1외2","2777","16.6"," ","매년 2월 접수"," "," "," ","37.5460902220034","127.172950288781","20151026",20151026
"71","지자체/강동구청","선사테마텃밭","1","서울특별시","2","강동구","강동구 암사동176-1","2314","16.7"," ","매년 2월 접수"," "," "," ","37.5584193832005","127.127808799849","20151026",20151026
"72","지자체/강동구청","역사생태공원텃밭","1","서울특별시","2","강동구","강동구 암사동253-3외3","2819","16.5"," ","매년 2월 접수"," "," "," ","37.5574838111683","127.133564125449","20151026",20151026
"142","지자체/도봉구청","쌍문동친환경 나눔텃밭","1","서울특별시","10","도봉구","서울시 도봉구 쌍문동 442-1","9296","10"," "," ","화장실, 쉼터","홈페이지","60,000","37.651424825096","127.019214092337","20170113",20170113
"143","지자체/도봉구청","도봉동친환경 영농 체험장","1","서울특별시","10","도봉구","서울시 도봉구 도봉동 8 외","23000","1146구좌"," "," "," "," "," ","37.6918719863896","127.046650063621","20151026",20151026
"144","지자체/도봉구청","창동도시농업 시범공원","1","서울특별시","10","도봉구","서울시 도봉구 창동 1-7","3394","139구좌"," "," "," "," "," ","37.6554887392089","127.049214062972","20151026",20151026
"145","지자체/도봉구청","초안산 근린 공원나눔텃밭","1","서울특별시","10","도봉구","서울시 도봉구 창동 산 157","2726","6"," "," ","화장실, 쉼터","홈페이지","30000","37.6479204878304","127.045421891584","20170112",20170112
"146","지자체/도봉구청","생태공원 나눔텃밭","1","서울특별시","10","도봉구","서울시 도봉구 창동 산 157","320","4구좌"," "," "," "," "," ","37.6479204878304","127.045421891584","20151026",20151026
